salary,time_frame_for_securing_position,relatedness_to_career_goals,study_abroad?,student_leadership_position?,center_of_experience?,number_of_internships,GPA
74946.95,1,2,0,0,0,1,2.754
101015.45,2,2,1,0,0,2,3.553
68429.82,0,1,0,0,0,1,3.659
81464.07,1,2,0,0,0,0,3.633
81464.07,1,2,0,0,0,2,3.046
68429.82,0,1,1,1,0,2,3.539
107532.58,0,2,0,1,0,2,3.577
101015.45,0,2,1,0,0,2,3.706
101015.45,0,2,0,1,0,2,3.559
68429.82,0,2,0,1,0,2,3.352
55395.57,0,2,1,0,0,0,3.365
92987.23,1,2,0,1,1,2,3.311
99400.14,0,2,0,0,0,3,2.982
40016.57,1,2,0,0,1,2,3.62
92987.23,1,2,0,0,0,2,3.322
80161.41,1,2,0,0,0,1,3.793
80161.41,1,2,0,0,0,3,3.633
99400.14,1,2,1,0,1,3,3.634
80161.41,0,2,0,0,0,1,3.217
73748.49,0,2,0,0,0,1,3.79
80161.41,0,2,0,0,0,3,3.524
86574.32,0,1,0,0,0,2,2.489
86574.32,0,1,1,0,1,3,3.495
109789.06,0,2,0,1,1,3,3.794
48096.84,1,2,0,0,0,1,2.987
80161.41,1,2,0,0,0,3,2.722
99400.14,0,2,0,1,1,2,3.202
86574.32,1,2,0,0,1,3,3.992
73748.49,0,2,0,0,1,2,3.529
71689.89,2,2,0,1,1,2,2.774
52988.18,2,1,0,1,0,2,3.422
96625.5,0,2,0,0,1,3,3.526
84157.69,2,2,0,0,0,3,3.736
84157.69,0,1,1,0,0,1,3.401
46754.27,2,1,0,0,0,0,3.101
84157.69,0,2,1,0,0,3,3.023
77923.79,0,2,0,0,1,3,3.445
46754.27,2,1,1,1,1,3,3.2
52988.18,1,2,1,0,0,2,3.179
96625.5,0,1,0,0,1,3,3.732
102859.4,0,2,1,1,1,3,3.799
96625.5,0,2,0,1,1,3,3.276
59222.08,1,1,1,0,0,1,3.847
59222.08,0,2,0,0,1,3,3.16
107324.08,0,2,0,1,1,3,3.595
70527.25,0,1,0,0,1,3,3.959
119589.69,0,2,0,1,1,3,3.828
88925.67,0,2,1,1,1,3,3.486
88925.67,0,2,0,0,0,1,3.839
27597.62,1,0,0,0,1,1,3.391
76660.06,0,2,0,0,0,3,3.651
76660.06,1,2,0,0,1,1,3.347
76660.06,1,2,0,0,1,3,3.18
64394.45,0,2,0,1,1,3,3.242
95058.47,1,2,0,0,1,3,3.773
95058.47,1,2,1,0,1,2,3.609
95058.47,1,2,0,0,1,2,2.972
88925.67,1,2,0,0,0,0,2.726
100542.04,0,2,0,1,1,2,3.394
94448.59,0,2,0,0,1,3,3.69
106635.5,0,2,0,0,1,3,3.703
76168.22,0,2,0,0,1,3,3.676
131009.33,0,2,1,1,1,3,3.809
70074.76,0,2,0,0,0,3,3.884
88355.13,0,1,0,0,0,1,3.412
88355.13,1,2,0,0,0,3,3.094
158429.89,0,2,0,1,1,3,3.509
51794.39,1,1,0,0,0,1,2.551
82261.67,2,2,0,0,0,1,3.519
88355.13,0,2,0,0,1,1,3.592
70074.76,0,2,0,1,1,3,3.833
88355.13,0,2,1,1,1,3,3.754
76168.22,2,2,0,0,0,3,3.536
57887.84,0,2,0,0,1,2,3.783
131009.33,0,2,1,1,1,3,3.87
88355.13,0,2,0,0,1,2,3.225
94448.59,0,2,0,0,1,2,3.678
63981.3,0,2,0,0,0,3,3.83
88355.13,1,2,0,0,1,2,2.765
63981.3,0,2,0,0,1,3,3.954
112728.96,0,2,1,0,1,3,3.76
57887.84,2,1,0,1,1,3,2.963
82261.67,0,2,0,0,0,0,3.602
137102.79,0,2,0,0,1,3,3.617
112743.88,0,2,1,0,1,3,3.817
89616.93,0,2,1,1,1,3,3.883
72271.72,0,2,1,0,1,3,3.687
83835.2,0,1,0,1,1,1,3.956
95398.67,0,2,1,0,1,3,3.719
83835.2,0,2,1,1,1,2,3.636
54926.51,1,2,0,0,0,1,2.613
83835.2,0,2,1,0,1,1,4
106962.15,0,2,1,1,1,3,3.94
124307.36,0,2,1,0,1,3,3.838
78053.46,1,2,1,0,0,0,3.495
72271.72,0,1,1,1,1,2,3.756
60708.25,2,1,0,0,0,2,3.016
78053.46,0,2,0,1,1,3,3.17
72271.72,1,2,1,0,1,2,3.889
95398.67,0,2,0,1,1,3,3.693
43363.03,0,2,0,0,1,2,2.962
26017.82,1,0,0,0,1,1,3.721
60708.25,1,2,0,0,1,1,3.933
112743.88,0,2,1,1,1,3,3.336
124307.36,0,1,0,0,1,1,3.949
54926.51,0,2,0,0,1,3,3.752
66268,0,2,0,0,1,1,2.355
66268,0,2,0,0,0,0,3.744
76870.88,0,2,0,0,1,2,3.983
55665.12,0,2,0,0,1,3,3.744
87473.76,0,2,0,1,1,1,2.532
39760.8,2,0,0,0,0,0,3.297
127234.56,0,2,0,1,1,3,3.954
76870.88,0,2,0,0,1,3,3.868
98076.64,0,2,0,0,1,2,3.411
29157.92,0,0,0,0,1,1,3.748
82172.32,0,2,0,0,1,3,3.057
60966.56,2,1,1,0,0,0,2.875
60966.56,1,2,0,0,0,1,2.351
92775.2,0,2,0,0,1,1,3.092
71569.44,0,2,0,0,1,2,3.05
71569.44,0,2,0,0,1,3,3.245
60966.56,0,2,0,1,1,2,3.945
71569.44,0,2,0,1,0,2,3.947
55665.12,0,2,0,0,1,1,3.61
87473.76,0,2,0,0,1,3,3.772
87473.76,1,2,0,0,0,2,3.605
39760.8,0,1,0,0,1,1,2.853
82172.32,0,2,0,1,1,3,3.559
76870.88,0,2,0,0,1,3,3.968
55665.12,0,2,0,0,1,3,3.604
45062.24,0,2,0,0,1,2,3.43
103378.08,0,2,0,1,1,2,2.933
103378.08,0,2,0,1,1,2,3.934
98076.64,0,2,0,1,1,3,3.804
120991.39,0,2,0,0,1,3,3.966
90099.97,0,2,0,0,1,3,3.754
90099.97,2,2,0,1,1,3,3.974
54059.98,0,2,0,0,1,2,2.782
84951.4,0,2,0,0,1,2,3.636
64357.12,0,2,0,0,1,2,3.983
84951.4,0,2,0,0,1,2,3.614
84951.4,0,2,0,1,1,2,3.775
79802.83,0,2,1,1,0,3,3.422
84951.4,0,2,0,1,0,2,2.385
84951.4,0,2,0,1,1,3,3.37
120991.39,1,2,0,1,1,3,2.407
95248.54,0,2,0,1,0,1,3.289
43762.84,0,0,0,0,1,1,3.129
90099.97,0,2,0,1,1,1,3.822
59208.55,0,2,0,1,1,2,3.921
146734.24,0,2,0,0,1,3,3.392
74654.26,0,1,0,1,1,2,3.794
95248.54,1,1,1,0,1,3,3.24
95248.54,1,2,0,1,1,1,3.815
