salary,time_frame_for_securing_position,relatedness_to_career_goals,study_abroad?,student_leadership_position?,center_of_experience?,number_of_internships,GPA
81464.07,3,2,0,0,0,1,2.75
61912.7,0,1,0,0,0,1,3.369
87981.2,0,2,0,1,0,2,3.859
48878.44,2,2,0,0,0,1,2.847
68429.82,0,2,0,0,0,2,2.845
54764.71,1,1,1,1,0,1,3.748
74946.95,2,1,0,0,0,0,2.924
87981.2,0,2,1,1,0,2,3.745
61912.7,0,2,1,0,0,1,3.667
94498.33,0,2,0,0,0,1,2.348
80161.41,0,1,0,0,0,2,2.942
80161.41,0,2,0,0,0,1,3.551
80161.41,0,2,0,0,0,1,3.496
92987.23,0,2,0,0,0,1,3.947
67335.58,0,2,0,0,0,1,3.813
28858.11,1,1,0,0,0,1,2.997
48096.84,1,1,0,0,1,1,3.365
41683.93,1,2,1,0,1,1,3.005
67335.58,0,1,1,0,0,2,3.364
67335.58,1,1,0,0,1,3,3.821
99400.14,0,2,0,1,0,3,3.357
73748.49,0,2,1,1,0,1,3.593
60922.67,1,2,0,0,1,1,3.509
77923.79,1,2,0,0,0,0,3.67
77923.79,0,2,0,1,1,1,3.681
38899.56,2,1,0,0,1,1,3.288
140262.82,2,2,0,0,0,1,3.551
96625.5,0,2,0,1,0,2,3.39
77923.79,0,2,0,0,0,2,3.394
96625.5,2,2,0,0,0,1,2.581
71689.89,2,1,0,0,0,0,3.15
84157.69,0,1,0,0,1,1,3.124
65455.98,0,2,0,0,1,1,3.49
52988.18,0,2,0,0,0,0,2.917
90391.59,2,2,0,0,1,3,3.848
52988.18,0,1,0,1,1,3,2.065
65455.98,0,2,0,0,1,3,2.701
90391.59,0,2,0,1,0,3,3.991
84157.69,1,2,1,0,0,3,3.24
71689.89,0,2,0,0,0,1,3.738
46754.27,1,2,1,1,1,2,3.508
121561.11,0,2,1,0,1,3,3.588
88925.67,0,2,0,0,0,2,3.246
88925.67,0,2,0,0,0,2,3.659
58261.64,0,1,0,1,1,3,3.153
27425.9,0,0,0,0,0,0,3.579
101191.28,2,2,0,1,0,1,3.268
27597.62,0,1,1,0,0,1,3.299
82792.86,1,2,1,0,0,1,3.425
39863.23,1,2,1,0,0,1,3.742
107324.08,0,2,1,0,1,3,3.331
46509.23,1,1,0,0,0,1,2.848
153320.12,0,2,0,0,0,3,3.033
52128.84,0,2,1,1,0,1,3.328
64394.45,2,1,0,0,0,1,3.359
70527.25,1,2,0,0,0,2,3.463
70527.25,0,2,0,1,0,2,3.283
64394.45,1,2,1,0,0,1,3.692
58261.64,0,2,0,0,1,1,3.156
82792.86,1,2,0,0,1,2,2.91
82261.67,0,2,1,1,1,3,3.475
137102.79,0,2,0,1,1,3,3.618
57887.84,0,2,0,0,0,1,2.844
76168.22,1,2,1,1,1,2,3.465
88355.13,0,2,1,1,1,3,3.607
82261.67,2,2,0,0,0,2,3.31
76168.22,1,2,1,1,1,3,3.852
45700.93,2,1,0,0,0,1,3.272
51794.39,0,2,0,0,0,2,3.775
51794.39,0,2,0,0,0,0,3.172
63981.3,3,2,1,1,1,2,3.324
40558.05,0,2,1,0,1,3,3.592
82261.67,2,2,1,1,1,3,3.304
70074.76,0,2,1,1,1,1,3.317
57887.84,0,2,0,0,0,1,2.568
131009.33,0,2,0,1,1,3,3.594
60708.25,1,2,0,0,1,1,3.982
66489.98,1,1,0,1,1,3,3.173
49144.77,1,2,0,1,0,3,3.752
36078.04,0,0,1,1,1,1,3.203
95398.67,1,2,0,1,0,1,3.011
83835.2,0,2,0,0,1,3,3.4
95398.67,0,2,0,1,0,3,3.795
182702.91,0,2,1,1,0,2,3.955
95398.67,0,2,0,1,0,2,3.618
50870.04,0,0,0,0,1,2,3.689
49144.77,2,1,0,0,0,0,2.739
106962.15,0,2,1,1,0,2,3.982
89616.93,0,2,0,1,0,2,3.588
78053.46,0,2,1,0,1,3,3.547
37581.29,0,2,0,1,0,1,3.585
136777.15,0,2,0,1,1,3,3.413
98076.64,0,2,0,1,1,2,3.658
49842.02,0,2,0,0,1,3,3.334
82172.32,1,2,0,0,0,1,2.846
71569.44,0,2,0,0,1,2,3.897
103378.08,0,2,0,0,1,1,3.536
76870.88,0,2,0,0,0,1,2.859
87473.76,2,2,0,1,1,2,2.895
33080.99,1,0,1,1,1,3,3.888
82172.32,0,2,0,1,1,1,3.898
55665.12,2,1,0,1,0,2,2.503
87473.76,0,2,0,1,1,3,4
76870.88,0,2,0,1,1,3,3.51
98076.64,1,2,0,0,0,3,3.633
87473.76,0,2,0,0,1,3,3.793
87473.76,0,2,0,0,1,2,3.911
74654.26,0,2,0,1,1,1,3.417
110694.25,0,2,0,0,0,3,3.188
90099.97,0,2,1,0,1,3,3.949
69505.69,2,2,0,1,0,3,3.468
43762.84,0,1,0,1,0,1,3.656
146734.24,1,2,0,0,0,3,3.854
